country,year,population
LCA,"2005",165450
LIE,"2005",34753
LKA,"2005",20216524
LSO,"2005",1953076
LTU,"2005",3322528
LUX,"2005",465158
LVA,"2005",2238799
MAC,"2005",473500
MAF,"2005",33928
MAR,"2005",30358144
MCO,"2005",32210
MDA,"2005",2888985
MDG,"2005",19159707
MDV,"2005",306429
MEX,"2005",105811504
MHL,"2005",51906
MKD,"2005",2005330
MLI,"2005",13538647
MLT,"2005",403834
MMR,"2005",47438365
MNE,"2005",614261
MNG,"2005",2536407
MNP,"2005",62354
MOZ,"2005",20304569
MRT,"2005",2939059
MUS,"2005",1228254
MWI,"2005",12840031
MYS,"2005",25836071
NAM,"2005",1966582
NCL,"2005",244381
NER,"2005",13756192
NGA,"2005",145017253
NIC,"2005",5342105
NLD,"2005",16319868
NOR,"2005",4623291
NPL,"2005",26309458
NRU,"2005",10049
NZL,"2005",4133900
OMN,"2005",2459802
PAK,"2005",175453212
PAN,"2005",3313026
PER,"2005",28101180
PHL,"2005",88015962
PLW,"2005",19819
PNG,"2005",6535905
POL,"2005",38165445
PRI,"2005",3821362
PRK,"2005",24396433
PRT,"2005",10503330
PRY,"2005",5448097
PSE,"2005",3320396
PYF,"2005",259507
QAT,"2005",825408
ROU,"2005",21319685
RUS,"2005",143518814
RWA,"2005",9054528
SAU,"2005",20559890
SDN,"2005",31262444
SEN,"2005",11235472
SGP,"2005",4265762
SLB,"2005",483080
SLE,"2005",5501712
SLV,"2005",6005578
SMR,"2005",29836
SOM,"2005",10644228
SRB,"2005",7440769
SSD,"2005",7590143
STP,"2005",161639
SUR,"2005",519313
SVK,"2005",5372807
SVN,"2005",2000474
SWE,"2005",9029572
SWZ,"2005",1079022
SXM,"2005",32057
SYC,"2005",82858
SYR,"2005",18814091
TCA,"2005",23988
TCD,"2005",10328092
TGO,"2005",5844631
THA,"2005",66017420
TJK,"2005",6924720
TKM,"2005",5052257
TLS,"2005",948311
TON,"2005",105671
TTO,"2005",1294494
TUN,"2005",10255472
TUR,"2005",69329557
TUV,"2005",9940
TZA,"2005",39182076
UGA,"2005",27963289
UKR,"2005",47585556
URY,"2005",3285771
USA,"2005",295516599
UZB,"2005",26356975
VCT,"2005",112450
VEN,"2005",26785804
VGB,"2005",23665
VIR,"2005",108453
VNM,"2005",81088313
VUT,"2005",210760
WSM,"2005",186978
XKX,"2005",1818354
YEM,"2005",22790085
ZAF,"2005",49490033
ZMB,"2005",11718819
ZWE,"2005",12483432
ABW,"2006",99405
AFG,"2006",25424094
AGO,"2006",20015279
ALB,"2006",2992547
AND,"2006",79585
ARE,"2006",5009100
ARG,"2006",39622115
ARM,"2006",3127100
ASM,"2006",56374
ATG,"2006",80604
AUS,"2006",20450966
AUT,"2006",8268641
AZE,"2006",8484550
BDI,"2006",7865547
BEL,"2006",10547958
BEN,"2006",8693242
BFA,"2006",14373707
BGD,"2006",146405973
BGR,"2006",7601022
BHR,"2006",960424
BHS,"2006",348375
BIH,"2006",4063272
BLR,"2006",9604924
BLZ,"2006",287878
BMU,"2006",62834
BOL,"2006",9521689
BRA,"2006",186653106
BRB,"2006",270002
BRN,"2006",364663
BTN,"2006",670799
BWA,"2006",1874516
CAF,"2006",4377579
CAN,"2006",32571193
CHE,"2006",7483934
CHI,"2006",154214
CHL,"2006",16509195
CHN,"2006",1311020000
CIV,"2006",20546802
CMR,"2006",17550407
COD,"2006",60615908
COG,"2006",3837409
COL,"2006",42691084
COM,"2006",604753
CPV,"2006",490728
CRI,"2006",4321340
CUB,"2006",11278550
CUW,"2006",141239
CYM,"2006",48232
CYP,"2006",1054418
CZE,"2006",10238905
DEU,"2006",82376451
DJI,"2006",855764
DMA,"2006",68806
DNK,"2006",5437272
DOM,"2006",9341183
DZA,"2006",33623506
ECU,"2006",14086131
EGY,"2006",82700403
ERI,"2006",2703502
ESP,"2006",44397319
EST,"2006",1346810
ETH,"2006",80703490
FIN,"2006",5266268
FJI,"2006",890365
FRA,"2006",63622342
FRO,"2006",48335
FSM,"2006",110729
GAB,"2006",1508337
GBR,"2006",60846820
GEO,"2006",3880347
GHA,"2006",23040702
GIB,"2006",29594
GIN,"2006",9441171
GMB,"2006",1715275
GNB,"2006",1415303
GNQ,"2006",990343
GRC,"2006",11020362
GRD,"2006",110135
GRL,"2006",56775
GTM,"2006",13367459
GUM,"2006",164839
GUY,"2006",758966
HKG,"2006",6857100
HND,"2006",7656832
HRV,"2006",4311159
HTI,"2006",9216562
HUN,"2006",10071370
IDN,"2006",233951652
IMN,"2006",80294
IND,"2006",1172878890
IRL,"2006",4273591
IRN,"2006",73392747
IRQ,"2006",28616515
ISL,"2006",303782
ISR,"2006",7053700
ITA,"2006",58399861
JAM,"2006",2700968
JOR,"2006",6427371
JPN,"2006",127854000
KAZ,"2006",16103716
KEN,"2006",36904008
KGZ,"2006",5218373
KHM,"2006",13639028
KIR,"2006",100017
KNA,"2006",46569
KOR,"2006",48438292
KWT,"2006",2364733
LAO,"2006",5963200
LBN,"2006",4751136
LBR,"2006",3490787
LBY,"2006",5980211
LCA,"2006",166639
LIE,"2006",35037
LKA,"2006",20352411
LSO,"2006",1945063
LTU,"2006",3269909
LUX,"2006",472637
LVA,"2006",2218357
MAC,"2006",498900
MAF,"2006",34658
MAR,"2006",30771178
MCO,"2006",32057
MDA,"2006",2880967
MDG,"2006",19730909
MDV,"2006",313851
MEX,"2006",107253666
MHL,"2006",51992
MKD,"2006",1994287
MLI,"2006",13990139
MLT,"2006",405308
MMR,"2006",47785135
MNE,"2006",615025
MNG,"2006",2567168
MNP,"2006",60682
MOZ,"2006",20787087
MRT,"2006",3013660
MUS,"2006",1233996
MWI,"2006",13198701
MYS,"2006",26417909
NAM,"2006",1991888
NCL,"2006",247547
NER,"2006",14268581
NGA,"2006",149077334
NIC,"2006",5418855
NLD,"2006",16346101
NOR,"2006",4660677
NPL,"2006",26565425
NRU,"2006",10034
NZL,"2006",4184600
OMN,"2006",2514795
PAK,"2006",179682690
PAN,"2006",3375024
PER,"2006",28324491
PHL,"2006",89508986
PLW,"2006",19593
PNG,"2006",6747720
POL,"2006",38141267
PRI,"2006",3805214
PRK,"2006",24524507
PRT,"2006",10522288
PRY,"2006",5505148
PSE,"2006",3406334
PYF,"2006",263223
QAT,"2006",972831
ROU,"2006",21193760
RUS,"2006",143049637
RWA,"2006",9299246
SAU,"2006",21459144
SDN,"2006",31992435
SEN,"2006",11500094
SGP,"2006",4401365
SLB,"2006",491594
SLE,"2006",5624466
SLV,"2006",6002319
SMR,"2006",30184
SOM,"2006",10975502
SRB,"2006",7411569
SSD,"2006",7976526
STP,"2006",165638
SUR,"2006",524997
SVK,"2006",5373054
SVN,"2006",2006868
SWE,"2006",9080505
SWZ,"2006",1084436
SXM,"2006",32428
SYC,"2006",84600
SYR,"2006",19637022
TCA,"2006",25123
TCD,"2006",10706424
TGO,"2006",6010668
THA,"2006",66567687
TJK,"2006",7057566
TKM,"2006",5147105
TLS,"2006",976597
TON,"2006",106253
TTO,"2006",1297944
TUN,"2006",10346410
TUR,"2006",70045349
TUV,"2006",10056
TZA,"2006",40294902
UGA,"2006",28794003
UKR,"2006",47278694
URY,"2006",3289506
USA,"2006",298379912
UZB,"2006",26699043
VCT,"2006",112014
VEN,"2006",27224686
VGB,"2006",24493
VIR,"2006",108369
VNM,"2006",82167897
VUT,"2006",215923
WSM,"2006",187709
XKX,"2006",1813079
YEM,"2006",23543083
ZAF,"2006",49998277
ZMB,"2006",12129553
ZWE,"2006",12636445
ABW,"2007",100150
AFG,"2007",25909852
AGO,"2007",20778561
ALB,"2007",2970017
AND,"2007",81877
ARE,"2007",5624635
ARG,"2007",40016763
ARM,"2007",3107400
ASM,"2007",56113
ATG,"2007",81704
AUS,"2007",20827622
AUT,"2007",8295487
AZE,"2007",8581300
BDI,"2007",8161874
BEL,"2007",10625700
BEN,"2007",8953969
BFA,"2007",14816307
BGD,"2007",147989278
BGR,"2007",7545338
BHR,"2007",1039295
BHS,"2007",353334
BIH,"2007",4013424
BLR,"2007",9560953
BLZ,"2007",296100
BMU,"2007",63010
BOL,"2007",9685960
BRA,"2007",188552320
BRB,"2007",271288
BRN,"2007",370873
BTN,"2007",678641
BWA,"2007",1911201
CAF,"2007",4462770
CAN,"2007",32888886
CHE,"2007",7551117
CHI,"2007",155309
CHL,"2007",16671581
CHN,"2007",1317885000
CIV,"2007",21030558
CMR,"2007",18049896
COD,"2007",62477752
COG,"2007",3980430
COL,"2007",43235374
COM,"2007",616927
CPV,"2007",496190
CRI,"2007",4380248
CUB,"2007",11287272
CUW,"2007",144056
CYM,"2007",49687
CYP,"2007",1072714
CZE,"2007",10298828
DEU,"2007",82266372
DJI,"2007",874528
DMA,"2007",68847
DNK,"2007",5461438
DOM,"2007",9455658
DZA,"2007",34189416
ECU,"2007",14328773
EGY,"2007",84276225
ERI,"2007",2743222
ESP,"2007",45226803
EST,"2007",1340680
ETH,"2007",83103217
FIN,"2007",5288720
FJI,"2007",897832
FRA,"2007",64016890
FRO,"2007",48378
FSM,"2007",109880
GAB,"2007",1556237
GBR,"2007",61322463
GEO,"2007",3860158
GHA,"2007",23642279
GIB,"2007",30006
GIN,"2007",9662281
GMB,"2007",1765774
GNB,"2007",1450986
GNQ,"2007",1036044
GRC,"2007",11048473
GRD,"2007",110522
GRL,"2007",56555
GTM,"2007",13652040
GUM,"2007",165267
GUY,"2007",756861
HKG,"2007",6916300
HND,"2007",7834798
HRV,"2007",4310217
HTI,"2007",9373296
HUN,"2007",10055780
IDN,"2007",237062337
IMN,"2007",81147
IND,"2007",1190676021
IRL,"2007",4398942
IRN,"2007",74602648
IRQ,"2007",28391607
ISL,"2007",311566
ISR,"2007",7180100
ITA,"2007",58756247
JAM,"2007",2713800
JOR,"2007",6827227
JPN,"2007",128001000
KAZ,"2007",16257214
KEN,"2007",38036349
KGZ,"2007",5268385
KHM,"2007",13841770
KIR,"2007",102068
KNA,"2007",46706
KOR,"2007",48683638
KWT,"2007",2507887
LAO,"2007",6056236
LBN,"2007",4844118
LBR,"2007",3669050
LBY,"2007",6104380
LCA,"2007",167758
LIE,"2007",35262
LKA,"2007",20492545
LSO,"2007",1953268
LTU,"2007",3231294
LUX,"2007",479993
LVA,"2007",2200325
MAC,"2007",520900
MAF,"2007",35337
MAR,"2007",31186468
MCO,"2007",31837
MDA,"2007",2874299
MDG,"2007",20318583
MDV,"2007",324479
MEX,"2007",108774360
MHL,"2007",52035
MKD,"2007",1982933
MLI,"2007",14457775
MLT,"2007",406724
MMR,"2007",48125043
MNE,"2007",615875
MNG,"2007",2601850
MNP,"2007",58941
MOZ,"2007",21287635
MRT,"2007",3093059
MUS,"2007",1239630
MWI,"2007",13576343
MYS,"2007",26998389
NAM,"2007",2018600
NCL,"2007",250725
NER,"2007",14803610
NGA,"2007",153267261
NIC,"2007",5497243
NLD,"2007",16381696
NOR,"2007",4709153
NPL,"2007",26788492
NRU,"2007",10020
NZL,"2007",4223800
OMN,"2007",2570174
PAK,"2007",184493231
PAN,"2007",3437490
PER,"2007",28530699
PHL,"2007",91075184
PLW,"2007",19302
PNG,"2007",6963345
POL,"2007",38120560
PRI,"2007",3782995
PRK,"2007",24646383
PRT,"2007",10542964
PRY,"2007",5559386
PSE,"2007",3494496
PYF,"2007",266438
QAT,"2007",1208595
ROU,"2007",20882982
RUS,"2007",142805114
RWA,"2007",9549933
SAU,"2007",22368313
SDN,"2007",32764135
SEN,"2007",11770344
SGP,"2007",4588599
SLB,"2007",500156
SLE,"2007",5749352
SLV,"2007",6009824
SMR,"2007",31211
SOM,"2007",11322582
SRB,"2007",7381579
SSD,"2007",8388788
STP,"2007",169700
SUR,"2007",531016
SVK,"2007",5374622
SVN,"2007",2018122
SWE,"2007",9148092
SWZ,"2007",1090705
SXM,"2007",32791
SYC,"2007",85033
SYR,"2007",20884125
TCA,"2007",26270
TCD,"2007",11081660
TGO,"2007",6188344
THA,"2007",67102394
TJK,"2007",7194477
TKM,"2007",5244046
TLS,"2007",1004889
TON,"2007",106726
TTO,"2007",1303188
TUN,"2007",10441702
TUR,"2007",70158112
TUV,"2007",10182
TZA,"2007",41435512
UGA,"2007",29653430
UKR,"2007",47062798
URY,"2007",3295153
USA,"2007",301231207
UZB,"2007",27076008
VCT,"2007",111531
VEN,"2007",27649363
VGB,"2007",25366
VIR,"2007",108337
VNM,"2007",83633375
VUT,"2007",221276
WSM,"2007",188753
XKX,"2007",1807094
YEM,"2007",24318082
ZAF,"2007",50528584
ZMB,"2007",12565085
ZWE,"2007",12804058
ABW,"2008",100917
AFG,"2008",26482622
AGO,"2008",21578655
ALB,"2008",2947314
AND,"2008",83495
ARE,"2008",6302664
ARG,"2008",40424148
ARM,"2008",3087100
ASM,"2008",55828
ATG,"2008",82912
AUS,"2008",21249199
AUT,"2008",8321496
AZE,"2008",8763400
BDI,"2008",8505637
BEL,"2008",10709973
BEN,"2008",9228466
BFA,"2008",15258093
BGD,"2008",149474264
BGR,"2008",7492561
BHR,"2008",1103496
BHS,"2008",358120
BIH,"2008",3947544
BLR,"2008",9527985
BLZ,"2008",304361
BMU,"2008",63300
BOL,"2008",9850858
BRA,"2008",190367302
BRB,"2008",272714
BRN,"2008",377793
BTN,"2008",686351
BWA,"2008",1949970
CAF,"2008",4558984
CAN,"2008",33247298
CHE,"2008",7647675
CHI,"2008",156408
CHL,"2008",16838988
CHN,"2008",1324655000
CIV,"2008",21514439
CMR,"2008",18574056
COD,"2008",64390664
COG,"2008",4113517
COL,"2008",43758808
COM,"2008",629307
CPV,"2008",501355
CRI,"2008",4440056
CUB,"2008",11291762
CUW,"2008",145880
CYM,"2008",51151
CYP,"2008",1091026
CZE,"2008",10384603
DEU,"2008",82110097
DJI,"2008",892734
DMA,"2008",68854
DNK,"2008",5493621
DOM,"2008",9573130
DZA,"2008",34816961
ECU,"2008",14575202
EGY,"2008",85864789
ERI,"2008",2816327
ESP,"2008",45954106
EST,"2008",1337090
ETH,"2008",85543668
FIN,"2008",5313399
FJI,"2008",903399
FRA,"2008",64375116
FRO,"2008",48547
FSM,"2008",108936
GAB,"2008",1607175
GBR,"2008",61806995
GEO,"2008",3848449
GHA,"2008",24249946
GIB,"2008",30413
GIN,"2008",9898870
GMB,"2008",1817852
GNB,"2008",1488054
GNQ,"2008",1084530
GRC,"2008",11077841
GRD,"2008",110896
GRL,"2008",56328
GTM,"2008",13935174
GUM,"2008",165693
GUY,"2008",754606
HKG,"2008",6957800
HND,"2008",8012587
HRV,"2008",4309705
HTI,"2008",9530774
HUN,"2008",10038188
IDN,"2008",240157903
IMN,"2008",82029
IND,"2008",1207930964
IRL,"2008",4489544
IRN,"2008",75514204
IRQ,"2008",28971036
ISL,"2008",317414
ISR,"2008",7308800
ITA,"2008",59211181
JAM,"2008",2725635
JOR,"2008",6989866
JPN,"2008",128063000
KAZ,"2008",16426525
KEN,"2008",39206351
KGZ,"2008",5318729
KHM,"2008",14053479
KIR,"2008",104222
KNA,"2008",46835
KOR,"2008",49054708
KWT,"2008",2651421
LAO,"2008",6148969
LBN,"2008",4925354
LBR,"2008",3821003
LBY,"2008",6235430
LCA,"2008",168808
LIE,"2008",35473
LKA,"2008",20629378
LSO,"2008",1966541
LTU,"2008",3198231
LUX,"2008",488650
LVA,"2008",2177322
MAC,"2008",540700
MAF,"2008",35958
MAR,"2008",31606767
MCO,"2008",31836
MDA,"2008",2868833
MDG,"2008",20923840
MDV,"2008",336170
MEX,"2008",110374288
MHL,"2008",52030
MKD,"2008",1971493
MLI,"2008",14940782
MLT,"2008",409379
MMR,"2008",48390793
MNE,"2008",616969
MNG,"2008",2643201
MNP,"2008",57150
MOZ,"2008",21819036
MRT,"2008",3183269
MUS,"2008",1244121
MWI,"2008",13976417
MYS,"2008",27570059
NAM,"2008",2047056
NCL,"2008",253825
NER,"2008",15361915
NGA,"2008",157595014
NIC,"2008",5576593
NLD,"2008",16445593
NOR,"2008",4768212
NPL,"2008",26990037
NRU,"2008",10009
NZL,"2008",4259800
OMN,"2008",2626529
PAK,"2008",189499113
PAN,"2008",3500648
PER,"2008",28719041
PHL,"2008",92699095
PLW,"2008",19009
PNG,"2008",7183002
POL,"2008",38125759
PRI,"2008",3760866
PRK,"2008",24764618
PRT,"2008",10558177
PRY,"2008",5613574
PSE,"2008",3591977
PYF,"2008",268379
QAT,"2008",1426938
ROU,"2008",20537875
RUS,"2008",142742366
RWA,"2008",9804269
SAU,"2008",23287877
SDN,"2008",33623980
SEN,"2008",12048959
SGP,"2008",4839396
SLB,"2008",508790
SLE,"2008",5894722
SLV,"2008",6029297
SMR,"2008",31662
SOM,"2008",11663084
SRB,"2008",7350222
SSD,"2008",8817647
STP,"2008",173793
SUR,"2008",537245
SVK,"2008",5379233
SVN,"2008",2021316
SWE,"2008",9219637
SWZ,"2008",1098091
SXM,"2008",33145
SYC,"2008",86956
SYR,"2008",21636564
TCA,"2008",27427
TCD,"2008",11476296
TGO,"2008",6368812
THA,"2008",67619830
TJK,"2008",7338403
TKM,"2008",5345029
TLS,"2008",1032429
TON,"2008",107020
TTO,"2008",1308587
TUN,"2008",10542635
TUR,"2008",71051678
TUV,"2008",10321
TZA,"2008",42570728
UGA,"2008",30539553
UKR,"2008",46819175
URY,"2008",3302177
USA,"2008",304093966
UZB,"2008",27494774
VCT,"2008",111028
VEN,"2008",28053696
VGB,"2008",26288
VIR,"2008",108397
VNM,"2008",85175788
VUT,"2008",226896
WSM,"2008",190107
XKX,"2008",1800858
YEM,"2008",25111941
ZAF,"2008",51114599
ZMB,"2008",13021324
ZWE,"2008",12959149
ABW,"2009",101604
AFG,"2009",27466101
AGO,"2009",22414773
ALB,"2009",2927519
AND,"2009",83888
ARE,"2009",6707058
ARG,"2009",40854831
ARM,"2009",3066000
ASM,"2009",55528
ATG,"2009",84173
AUS,"2009",21691653
AUT,"2009",8343323
AZE,"2009",8947243
BDI,"2009",8947646
BEL,"2009",10796493
BEN,"2009",9509423
BFA,"2009",15710066
BGD,"2009",150873714
BGR,"2009",7444443
BHR,"2009",1178415
BHS,"2009",362810
BIH,"2009",3879794
BLR,"2009",9504583
BLZ,"2009",312614
BMU,"2009",63565
BOL,"2009",10016275
BRA,"2009",192079951
BRB,"2009",274123
BRN,"2009",384952
BTN,"2009",693988
BWA,"2009",1990673
CAF,"2009",4529047
CAN,"2009",33630069
CHE,"2009",7743831
CHI,"2009",157511
CHL,"2009",17009731
CHN,"2009",1331260000
CIV,"2009",21997940
CMR,"2009",19113974
COD,"2009",66412044
COG,"2009",4281219
COL,"2009",44271541
COM,"2009",641947
CPV,"2009",506141
CRI,"2009",4499791
CUB,"2009",11294719
CUW,"2009",146833
CYM,"2009",52618
CYP,"2009",1109371
CZE,"2009",10443936
DEU,"2009",81902307
DJI,"2009",911527
DMA,"2009",68864
DNK,"2009",5523095
DOM,"2009",9695265
DZA,"2009",35490445
ECU,"2009",14825954
EGY,"2009",87501636
ERI,"2009",2887885
ESP,"2009",46362946
EST,"2009",1334515
ETH,"2009",88007636
FIN,"2009",5338871
FJI,"2009",907239
FRA,"2009",64706436
FRO,"2009",48791
FSM,"2009",107957
GAB,"2009",1661556
GBR,"2009",62276270
GEO,"2009",3814419
GHA,"2009",24862664
GIB,"2009",30823
GIN,"2009",10143534
GMB,"2009",1871422
GNB,"2009",1526377
GNQ,"2009",1135673
GRC,"2009",11107017
GRD,"2009",111254
GRL,"2009",56323
GTM,"2009",14215611
GUM,"2009",166173
GUY,"2009",752094
HKG,"2009",6972800
HND,"2009",8189899
HRV,"2009",4305181
HTI,"2009",9689581
HUN,"2009",10022650
IDN,"2009",243220028
IMN,"2009",82939
IND,"2009",1225524753
IRL,"2009",4535375
IRN,"2009",76457825
IRQ,"2009",30058206
ISL,"2009",318499
ISR,"2009",7485600
ITA,"2009",59555454
JAM,"2009",2736995
JOR,"2009",7141753
JPN,"2009",128047000
KAZ,"2009",16619846
KEN,"2009",40408891
KGZ,"2009",5389643
KHM,"2009",14276810
KIR,"2009",106467
KNA,"2009",46916
KOR,"2009",49307835
KWT,"2009",2795484
LAO,"2009",6241642
LBN,"2009",4992287
LBR,"2009",3943028
LBY,"2009",6366686
LCA,"2009",169869
LIE,"2009",35742
LKA,"2009",20756435
LSO,"2009",1980883
LTU,"2009",3162916
LUX,"2009",497783
LVA,"2009",2141669
MAC,"2009",535000
MAF,"2009",36502
MAR,"2009",32030778
MCO,"2009",32364
MDA,"2009",2865213
MDG,"2009",21547280
MDV,"2009",348275
MEX,"2009",111999721
MHL,"2009",52019
MKD,"2009",1958782
MLI,"2009",15435539
MLT,"2009",412477
MMR,"2009",48660459
MNE,"2009",618294
MNG,"2009",2691115
MNP,"2009",55325
MOZ,"2009",22391745
MRT,"2009",3284448
MUS,"2009",1247429
MWI,"2009",14395788
MYS,"2009",28124778
NAM,"2009",2077394
NCL,"2009",257250
NER,"2009",15943675
NGA,"2009",162049464
NIC,"2009",5656601
NLD,"2009",16530388
NOR,"2009",4828726
NPL,"2009",27173035
NRU,"2009",10016
NZL,"2009",4302600
OMN,"2009",2684659
PAK,"2009",194376534
PAN,"2009",3564381
PER,"2009",28896811
PHL,"2009",94384250
PLW,"2009",18709
PNG,"2009",7406438
POL,"2009",38151603
PRI,"2009",3740410
PRK,"2009",24878332
PRT,"2009",10568247
PRY,"2009",5671236
PSE,"2009",3689099
PYF,"2009",269481
QAT,"2009",1608903
ROU,"2009",20367487
RUS,"2009",142785348
RWA,"2009",10060432
SAU,"2009",24217654
SDN,"2009",34569113
SEN,"2009",12337389
SGP,"2009",4987573
SLB,"2009",518141
SLE,"2009",6055646
SLV,"2009",6048279
SMR,"2009",33066
SOM,"2009",11961201
SRB,"2009",7320807
SSD,"2009",9243556
STP,"2009",177853
SUR,"2009",543568
SVK,"2009",5386406
SVN,"2009",2039669
SWE,"2009",9298515
SWZ,"2009",1105153
SXM,"2009",33491
SYC,"2009",87298
SYR,"2009",21976969
TCA,"2009",28588
TCD,"2009",11893754
TGO,"2009",6551865
THA,"2009",68121080
TJK,"2009",7490230
TKM,"2009",5451592
TLS,"2009",1058782
TON,"2009",107203
TTO,"2009",1310106
TUN,"2009",10650681
TUR,"2009",72039206
TUV,"2009",10461
TZA,"2009",43633982
UGA,"2009",31451151
UKR,"2009",46623731
URY,"2009",3310091
USA,"2009",306771529
UZB,"2009",27939328
VCT,"2009",110508
VEN,"2009",28438298
VGB,"2009",27218
VIR,"2009",108404
VNM,"2009",86460018
VUT,"2009",232731
WSM,"2009",191513
XKX,"2009",1794681
YEM,"2009",25927724
ZAF,"2009",51728516
ZMB,"2009",13490389
ZWE,"2009",13142790
ABW,"2010",101838
AFG,"2010",28284089
AGO,"2010",23294825
ALB,"2010",2913021
AND,"2010",80706
ARE,"2010",6869838
ARG,"2010",41288694
ARM,"2010",3044800
ASM,"2010",55228
ATG,"2010",85320
AUS,"2010",22031750
AUT,"2010",8363404
AZE,"2010",9054332
BDI,"2010",9376444
BEL,"2010",10895586
BEN,"2010",9797484
BFA,"2010",16176498
BGD,"2010",152201981
BGR,"2010",7395599
BHR,"2010",1228543
BHS,"2010",367478
BIH,"2010",3811472
BLR,"2010",9483836
BLZ,"2010",320245
BMU,"2010",63725
BOL,"2010",10182345
BRA,"2010",193701929
BRB,"2010",275243
BRN,"2010",392332
BTN,"2010",701632
BWA,"2010",2033111
CAF,"2010",4492995
CAN,"2010",34005902
CHE,"2010",7824909
CHI,"2010",158621
CHL,"2010",17181464
CHN,"2010",1337705000
CIV,"2010",22488065
CMR,"2010",19668066
COD,"2010",68563038
COG,"2010",4462290
COL,"2010",44777319
COM,"2010",654836
CPV,"2010",509784
CRI,"2010",4555962
CUB,"2010",11297409
CUW,"2010",148703
CYM,"2010",54099
CYP,"2010",1127816
CZE,"2010",10474410
DEU,"2010",81776930
DJI,"2010",930251
DMA,"2010",68859
DNK,"2010",5547683
DOM,"2010",9820175
DZA,"2010",36188236
ECU,"2010",15076695
EGY,"2010",89196072
ERI,"2010",2945186
ESP,"2010",46576897
EST,"2010",1331475
ETH,"2010",90538514
FIN,"2010",5363352
FJI,"2010",910419
FRA,"2010",65026211
FRO,"2010",48657
FSM,"2010",107540
GAB,"2010",1719879
GBR,"2010",62766365
GEO,"2010",3786695
GHA,"2010",25474995
GIB,"2010",31248
GIN,"2010",10396086
GMB,"2010",1926630
GNB,"2010",1566347
GNQ,"2010",1189085
GRC,"2010",11121341
GRD,"2010",111586
GRL,"2010",56534
GTM,"2010",14500112
GUM,"2010",166522
GUY,"2010",749256
HKG,"2010",7024200
HND,"2010",8365878
HRV,"2010",4295427
HTI,"2010",9803294
HUN,"2010",10000023
IDN,"2010",246305322
IMN,"2010",83873
IND,"2010",1243481564
IRL,"2010",4560155
IRN,"2010",77420842
IRQ,"2010",31045366
ISL,"2010",318041
ISR,"2010",7623600
ITA,"2010",59819407
JAM,"2010",2748568
JOR,"2010",7297043
JPN,"2010",128070000
KAZ,"2010",16836810
KEN,"2010",41598567
KGZ,"2010",5467059
KHM,"2010",14500726
KIR,"2010",108704
KNA,"2010",46846
KOR,"2010",49554112
KWT,"2010",2943372
LAO,"2010",6334194
LBN,"2010",5041288
LBR,"2010",4058890
LBY,"2010",6497839
LCA,"2010",170906
LIE,"2010",36022
LKA,"2010",20879089
LSO,"2010",1996251
LTU,"2010",3097282
LUX,"2010",506953
LVA,"2010",2097555
MAC,"2010",537000
MAF,"2010",36856
MAR,"2010",32467016
MCO,"2010",33163
MDA,"2010",2862354
MDG,"2010",22183340
MDV,"2010",360792
MEX,"2010",113623895
MHL,"2010",52044
MKD,"2010",1946298
MLI,"2010",15945198
MLT,"2010",414508
MMR,"2010",49024382
MNE,"2010",619428
MNG,"2010",2738622
MNP,"2010",54091
MOZ,"2010",22999235
MRT,"2010",3390965
MUS,"2010",1250400
MWI,"2010",14826463
MYS,"2010",28655776
NAM,"2010",2109811
NCL,"2010",261582
NER,"2010",16548835
NGA,"2010",166642886
NIC,"2010",5737450
NLD,"2010",16615394
NOR,"2010",4889252
NPL,"2010",27341952
NRU,"2010",10043
NZL,"2010",4350700
OMN,"2010",2757446
PAK,"2010",199239047
PAN,"2010",3628535
PER,"2010",29086019
PHL,"2010",96337125
PLW,"2010",18396
PNG,"2010",7633523
POL,"2010",38042794
PRI,"2010",3724465
PRK,"2010",24987258
PRT,"2010",10573100
PRY,"2010",5737971
PSE,"2010",3786161
PYF,"2010",270580
QAT,"2010",1616832
ROU,"2010",20246871
RUS,"2010",142849468
RWA,"2010",10317553
SAU,"2010",23978487
SDN,"2010",35414399
SEN,"2010",12635413
SGP,"2010",5076732
SLB,"2010",532968
SLE,"2010",6222714
SLV,"2010",6068249
SMR,"2010",33270
SOM,"2010",12261756
SRB,"2010",7291436
SSD,"2010",9745953
STP,"2010",181802
SUR,"2010",549923
SVK,"2010",5391428
SVN,"2010",2048583
SWE,"2010",9378126
SWZ,"2010",1111650
SXM,"2010",33794
SYC,"2010",89770
SYR,"2010",22482421
TCA,"2010",29739
TCD,"2010",12312575
TGO,"2010",6732590
THA,"2010",68579447
TJK,"2010",7652141
TKM,"2010",5564356
TLS,"2010",1084679
TON,"2010",107400
TTO,"2010",1317714
TUN,"2010",10765980
TUR,"2010",73142150
TUV,"2010",10614
TZA,"2010",44758488
UGA,"2010",32390802
UKR,"2010",46456003
URY,"2010",3318580
USA,"2010",309378227
UZB,"2010",28385506
VCT,"2010",109959
VEN,"2010",28813101
VGB,"2010",27675
VIR,"2010",108357
VNM,"2010",87455152
VUT,"2010",238248
WSM,"2010",193023
XKX,"2010",1788743
YEM,"2010",26754387
ZAF,"2010",52344051
ZMB,"2010",13965594
ZWE,"2010",13356548
ABW,"2011",102591
AFG,"2011",29347708
AGO,"2011",24218352
ALB,"2011",2905195
